172.16.201.248 - - [09/Apr/2018:15:21:24 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 213
172.16.201.248 - - [09/Apr/2018:15:21:24 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:21:26 +0530] "GET /SHW-rest/rest/superadmin/deleteSubtechnology/2788 HTTP/1.1" 200 -
172.16.201.248 - - [09/Apr/2018:15:21:26 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 134
172.16.201.248 - - [09/Apr/2018:15:21:26 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:21:43 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 134
172.16.201.248 - - [09/Apr/2018:15:21:43 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:22:49 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:22:49 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 134
172.16.201.248 - - [09/Apr/2018:15:23:14 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:23:14 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 134
172.16.201.248 - - [09/Apr/2018:15:24:07 +0530] "POST /SHW-rest/rest/superadmin/addSubtechnology HTTP/1.1" 200 -
172.16.201.248 - - [09/Apr/2018:15:24:07 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:24:07 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 212
172.16.201.248 - - [09/Apr/2018:15:24:18 +0530] "GET /SHW-rest/rest/superadmin/deleteSubtechnology/2789 HTTP/1.1" 200 -
172.16.201.248 - - [09/Apr/2018:15:24:18 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 134
172.16.201.248 - - [09/Apr/2018:15:24:18 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:24:23 +0530] "POST /SHW-rest/rest/superadmin/addSubtechnology HTTP/1.1" 200 -
172.16.201.248 - - [09/Apr/2018:15:24:23 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 252
172.16.201.248 - - [09/Apr/2018:15:24:23 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:25:12 +0530] "POST /SHW-rest/rest/superadmin/addSubtechnology HTTP/1.1" 200 -
172.16.201.248 - - [09/Apr/2018:15:25:12 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 363
172.16.201.248 - - [09/Apr/2018:15:25:12 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:25:55 +0530] "POST /SHW-rest/rest/superadmin/addSubtechnology HTTP/1.1" 200 -
172.16.201.248 - - [09/Apr/2018:15:25:55 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:25:55 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 472
172.16.201.248 - - [09/Apr/2018:15:26:42 +0530] "POST /SHW-rest/rest/superadmin/addSubtechnology HTTP/1.1" 200 -
172.16.201.248 - - [09/Apr/2018:15:26:42 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:26:42 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 584
172.16.201.248 - - [09/Apr/2018:15:27:24 +0530] "POST /SHW-rest/rest/superadmin/addSubtechnology HTTP/1.1" 200 -
172.16.201.248 - - [09/Apr/2018:15:27:24 +0530] "GET /SHW-rest/rest/superadmin/getTechnnologies HTTP/1.1" 200 29
172.16.201.248 - - [09/Apr/2018:15:27:24 +0530] "GET /SHW-rest/rest/superadmin/getSubtechnnologies HTTP/1.1" 200 682
172.16.201.248 - - [09/Apr/2018:15:28:58 +0530] "POST /SHW-rest/rest/superadmin/addSubtechnology HTTP/1.1" 200 -
